site,radius,order,n,log10_error,log10_bound,log10_sensitivity,max_orbit,below_noise_floor
attracting_zero,1e-3,8,26,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,27,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,27,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,27,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,27,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,28,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,28,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,28,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,28,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,29,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,29,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,29,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,29,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,30,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,30,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,30,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,30,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,31,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,31,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,31,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,31,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,32,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,32,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,32,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
