site,level,n,log10_radius,log10_inherited_error,log10_fresh_error,log10_periodic_error,log10_neighbor_signal,log10_differential_error,log10_differential_relative_to_signal,log10_inherited_relative_to_signal,log10_periodic_relative_to_signal
escaping_seahorse,5,15,-7.385606273598312,-20.433859077590714,-26.194093107823935,-20.433859077590714,-6.889748056100484,-21.558483744371,-14.668735688270516,-13.544111021490231,-13.544111021490231
escaping_seahorse,6,16,-7.862727528317975,-20.327823360460684,-27.856833249455622,-20.327823360460684,-7.345699013949351,-21.919293083941234,-14.573594069991884,-12.982124346511334,-12.982124346511334
escaping_seahorse,7,17,-8.339848783037636,-20.38309107428186,-29.554241226111596,-20.38309107428186,-7.7483576794743785,-22.448246199268887,-14.69988851979451,-12.634733394807483,-12.634733394807483
escaping_seahorse,8,18,-8.816970037757299,-20.266251477352032,-31.214822131589823,-20.266251477352032,-8.181974884497558,-22.80738320475639,-14.625408320258833,-12.084276592854474,-12.084276592854474
escaping_seahorse,9,19,-9.294091292476962,-20.287785318528808,-32.88938020654738,-32.486112350615315,-8.587989717377608,-23.305654536912144,-14.717664819534535,-11.6997956011512,-23.898122633237705
escaping_seahorse,10,20,-9.771212547196624,-20.169761618123438,-34.53928770908116,-33.23752481999412,-9.000420240689238,-23.664626025758835,-14.664205785069598,-11.1693413774342,-24.237104579304884
escaping_seahorse,11,21,-10.248333801916287,-20.157408574851736,-36.18168579554043,-33.57442056130104,-9.401143565309717,-24.129349643850627,-14.72820607854091,-10.75626500954202,-24.173276995991323
escaping_seahorse,12,22,-10.72545505663595,-20.037173685947874,-37.81020936804847,-33.57796763167512,-9.792908125443361,-24.486223570807276,-14.693315445363915,-10.244265560504513,-23.78505950623176
escaping_seahorse,13,23,-11.202576311355612,-19.984197504906962,-39.40705649104398,-33.56675187066738,-10.17641920017329,-24.910361308576814,-14.733942108403523,-9.807778304733672,-23.39033267049409
escaping_seahorse,14,24,-11.679697566075275,-19.85809005827726,-40.99843199904476,-33.45460336013629,-10.546817528703174,-25.26137601797087,-14.714558489267697,-9.311272529574085,-22.907785831433117
escaping_seahorse,15,25,-12.156818820794937,-19.751823675012954,-42.529250273704164,-33.352993094280286,-10.895401626727452,-25.632227184976,-14.736825558248547,-8.856422048285502,-22.457591467552835
escaping_seahorse,16,26,-12.6339400755146,-19.612668364251483,-44.05709985073036,-33.215390125494714,-11.240876971412638,-25.970196957443022,-14.729319986030385,-8.371791392838846,-21.974513154082075
escaping_seahorse,17,27,-13.11106133023426,-19.430249751023712,-45.488861817446946,-45.12246098400342,-11.526364487840794,-26.264896022782107,-14.738531534941313,-7.903885263182918,-33.59609649616262
escaping_seahorse,18,28,-13.588182584953923,-19.262446734478182,-46.90376378609124,-45.83310726833942,-11.835749085692829,-26.574221968789864,-14.738472883097035,-7.426697648785353,-33.99735818264659
escaping_seahorse,19,29,-14.065303839673586,-18.963158238101414,-48.18143828042012,-45.877121586567135,-12.011948811324794,-26.75205300478943,-14.740104193464637,-6.95120942677662,-33.86517277524234
escaping_seahorse,20,30,-14.542425094393248,-18.725372664791692,-49.3822565445437,-45.76160071949568,-12.249415724579919,-26.991407793573938,-14.74199206899402,-6.475956940211773,-33.51218499491576
escaping_seahorse,21,31,-15.019546349112911,-18.255267142530187,-50.41622431892964,-45.33310248537983,-12.257038881288565,-26.998438106126986,-14.741399224838421,-5.998228261241621,-33.07606360409127
escaping_seahorse,22,32,-15.496667603832574,-17.790520173064706,-51.204741939161586,-44.88230677102224,-12.269577996684768,-27.010865822652043,-14.741287825967275,-5.520942176379938,-32.61272877433748
escaping_seahorse,23,33,-15.973788858552236,-17.29136966762697,-51.73752499217276,-44.38781334042481,-12.247541518402556,-26.989030774381312,-14.741489255978756,-5.043828149224414,-32.14027182202226
